tensor(-1919.0002, device='cuda:0')
tensor(-2030.1044, device='cuda:0')
tensor(-1987.5909, device='cuda:0')
tensor(-2013.8408, device='cuda:0')
tensor(-2052.3655, device='cuda:0')
tensor(-2108.4634, device='cuda:0')
tensor(-2141.1709, device='cuda:0')
tensor(-2154.8721, device='cuda:0')
tensor(-2004.3282, device='cuda:0')
tensor(-2160.1653, device='cuda:0')
tensor(-2012.1592, device='cuda:0')
tensor(-2001.5564, device='cuda:0')
tensor(-2086.2422, device='cuda:0')
tensor(-1957.6471, device='cuda:0')
tensor(-1861.2859, device='cuda:0')
tensor(-2098.2036, device='cuda:0')
tensor(-1977.1283, device='cuda:0')
tensor(-2029.9006, device='cuda:0')
tensor(-1984.4966, device='cuda:0')
tensor(-1995.4486, device='cuda:0')
tensor(-2073.1797, device='cuda:0')
tensor(-1972.0015, device='cuda:0')
tensor(-2000.0298, device='cuda:0')
tensor(-2056.2595, device='cuda:0')
tensor(-2131.9683, device='cuda:0')
tensor(-1955.5872, device='cuda:0')
tensor(-2096.7046, device='cuda:0')
tensor(-2032.2910, device='cuda:0')
tensor(-2025.8574, device='cuda:0')
tensor(-2041.5159, device='cuda:0')
tensor(-2054.1228, device='cuda:0')
tensor(-2064.6052, device='cuda:0')
tensor(-1902.9529, device='cuda:0')
tensor(-2143.3127, device='cuda:0')
tensor(-2119.9026, device='cuda:0')
tensor(-2072.1365, device='cuda:0')
tensor(-1981.3558, device='cuda:0')
tensor(-2081.1106, device='cuda:0')
tensor(-1893.8346, device='cuda:0')
tensor(-2084.2026, device='cuda:0')
tensor(-2141.5054, device='cuda:0')
tensor(-2032.5670, device='cuda:0')
tensor(-2057.5818, device='cuda:0')
tensor(-1999.3445, device='cuda:0')
tensor(-2058.1335, device='cuda:0')
tensor(-2125.1279, device='cuda:0')
tensor(-1974.6108, device='cuda:0')
tensor(-2032.2786, device='cuda:0')
tensor(-2020.1224, device='cuda:0')
tensor(-1994.8385, device='cuda:0')
tensor(-2138.3083, device='cuda:0')
tensor(-2026.2877, device='cuda:0')
tensor(-2072.6335, device='cuda:0')
tensor(-2041.3167, device='cuda:0')
tensor(-1941.3044, device='cuda:0')
tensor(-1983.0081, device='cuda:0')
tensor(-2075.7532, device='cuda:0')
tensor(-1960.1489, device='cuda:0')
tensor(-2042.0464, device='cuda:0')
tensor(-2083.2646, device='cuda:0')
tensor(-2094.7319, device='cuda:0')
tensor(-2137.9009, device='cuda:0')
tensor(-2075.4631, device='cuda:0')
tensor(-1962.3300, device='cuda:0')
tensor(-2007.6555, device='cuda:0')
tensor(-1962.1090, device='cuda:0')
tensor(-1988.5471, device='cuda:0')
tensor(-2096.4324, device='cuda:0')
tensor(-1962.7273, device='cuda:0')
tensor(-2021.1367, device='cuda:0')
tensor(-1930.9637, device='cuda:0')
tensor(-1964.9404, device='cuda:0')
tensor(-2039.2141, device='cuda:0')
tensor(-2042.1324, device='cuda:0')
tensor(-1875.6473, device='cuda:0')
tensor(-2104.8992, device='cuda:0')
tensor(-2022.0393, device='cuda:0')
tensor(-2025.1566, device='cuda:0')
tensor(-2038.5896, device='cuda:0')
tensor(-2016.8921, device='cuda:0')
tensor(-2073.9810, device='cuda:0')
tensor(-2099.3083, device='cuda:0')
tensor(-2108.2576, device='cuda:0')
tensor(-2045.9069, device='cuda:0')
tensor(-2111.5908, device='cuda:0')
tensor(-1976.2834, device='cuda:0')
tensor(-1948.2209, device='cuda:0')
tensor(-2040.3328, device='cuda:0')
tensor(-2091.4875, device='cuda:0')
tensor(-2029.4612, device='cuda:0')
tensor(-1998.1296, device='cuda:0')
tensor(-2040.0320, device='cuda:0')
tensor(-2003.6980, device='cuda:0')
tensor(-1980.0757, device='cuda:0')
tensor(-2037.8923, device='cuda:0')
tensor(-2012.1575, device='cuda:0')
tensor(-1985.0658, device='cuda:0')
tensor(-2077.3091, device='cuda:0')
tensor(-1966.8507, device='cuda:0')
tensor(-2041.7043, device='cuda:0')
tensor(-1966.3866, device='cuda:0')
tensor(-2052.3506, device='cuda:0')
tensor(-1977.4756, device='cuda:0')
tensor(-2015.1138, device='cuda:0')
tensor(-2066.4150, device='cuda:0')
tensor(-2035.4634, device='cuda:0')
tensor(-2000.1567, device='cuda:0')
tensor(-2023.1141, device='cuda:0')
tensor(-2082.7861, device='cuda:0')
tensor(-2072.3240, device='cuda:0')
tensor(-2044.3896, device='cuda:0')
tensor(-2036.2207, device='cuda:0')
tensor(-2054.4976, device='cuda:0')
tensor(-2004.5339, device='cuda:0')
tensor(-2053.5457, device='cuda:0')
tensor(-2003.1741, device='cuda:0')
tensor(-2131.5955, device='cuda:0')
tensor(-2016.2847, device='cuda:0')
tensor(-2051.8599, device='cuda:0')
tensor(-2106.3511, device='cuda:0')
tensor(-1994.4220, device='cuda:0')
tensor(-2035.9323, device='cuda:0')
tensor(-2070.3604, device='cuda:0')
tensor(-2006.2695, device='cuda:0')
tensor(-1999.2676, device='cuda:0')
tensor(-2111.3467, device='cuda:0')
tensor(-2048.1353, device='cuda:0')
tensor(-2059.3459, device='cuda:0')
tensor(-2051.7598, device='cuda:0')
tensor(-1931.7206, device='cuda:0')
tensor(-2049.4199, device='cuda:0')
tensor(-2096.0391, device='cuda:0')
tensor(-2117.1072, device='cuda:0')
tensor(-2033.7129, device='cuda:0')
tensor(-2067.2888, device='cuda:0')
tensor(-2038.2906, device='cuda:0')
tensor(-2064.4736, device='cuda:0')
tensor(-2000.7917, device='cuda:0')
tensor(-1906.4034, device='cuda:0')
tensor(-1893.2539, device='cuda:0')
tensor(-2070.3660, device='cuda:0')
tensor(-2163.3574, device='cuda:0')
tensor(-2088.5820, device='cuda:0')
tensor(-1914.2634, device='cuda:0')
tensor(-1968.2421, device='cuda:0')
tensor(-1939.3760, device='cuda:0')
tensor(-1960.2815, device='cuda:0')
tensor(-2062.1042, device='cuda:0')
tensor(-1980.2096, device='cuda:0')
tensor(-2068.9067, device='cuda:0')
tensor(-1940.3147, device='cuda:0')
tensor(-1883.8982, device='cuda:0')
tensor(-2038.8552, device='cuda:0')
tensor(-2000.8041, device='cuda:0')
tensor(-2004.2708, device='cuda:0')
tensor(-1883.7083, device='cuda:0')
tensor(-1998.8828, device='cuda:0')
tensor(-2137.5015, device='cuda:0')
tensor(-2083.0825, device='cuda:0')
tensor(-2010.9808, device='cuda:0')
tensor(-2058.2319, device='cuda:0')
tensor(-1923.4712, device='cuda:0')
tensor(-1848.4995, device='cuda:0')
tensor(-2007.3015, device='cuda:0')
tensor(-1981.9014, device='cuda:0')
tensor(-2043.5055, device='cuda:0')
tensor(-2040.5366, device='cuda:0')
tensor(-1964.6887, device='cuda:0')
tensor(-2091.2537, device='cuda:0')
tensor(-1877.5677, device='cuda:0')
tensor(-2014.6189, device='cuda:0')
tensor(-1973.5764, device='cuda:0')
tensor(-2065.5886, device='cuda:0')
tensor(-2085.7603, device='cuda:0')
tensor(-2066.3342, device='cuda:0')
tensor(-2048.0396, device='cuda:0')
tensor(-1957.1326, device='cuda:0')
tensor(-1986.6968, device='cuda:0')
tensor(-1973.8071, device='cuda:0')
tensor(-2007.9072, device='cuda:0')
tensor(-2052.2139, device='cuda:0')
tensor(-2022.4913, device='cuda:0')
tensor(-2218.7651, device='cuda:0')
tensor(-2157.3262, device='cuda:0')
tensor(-1979.9563, device='cuda:0')
tensor(-2122.7930, device='cuda:0')
tensor(-1981.5265, device='cuda:0')
tensor(-1974.1820, device='cuda:0')
tensor(-1980.4934, device='cuda:0')
tensor(-2014.0046, device='cuda:0')
tensor(-2106.0776, device='cuda:0')
tensor(-1909.2584, device='cuda:0')
tensor(-2047.3676, device='cuda:0')
tensor(-2072.9268, device='cuda:0')
tensor(-2079.4309, device='cuda:0')
tensor(-2143.4719, device='cuda:0')
tensor(-2050.3711, device='cuda:0')
tensor(-2089.0449, device='cuda:0')
tensor(-2087.7456, device='cuda:0')
tensor(-1911.0513, device='cuda:0')
tensor(-1961.7446, device='cuda:0')
tensor(-1942.6370, device='cuda:0')
tensor(-2028.8192, device='cuda:0')
tensor(-2083.6836, device='cuda:0')
tensor(-2087.5337, device='cuda:0')
tensor(-2070.5735, device='cuda:0')
tensor(-1923.8082, device='cuda:0')
tensor(-2013.6360, device='cuda:0')
tensor(-1951.3268, device='cuda:0')
tensor(-2029.2433, device='cuda:0')
tensor(-2018.2461, device='cuda:0')
tensor(-1945.7478, device='cuda:0')
tensor(-2000.9120, device='cuda:0')
